version,doi,id,v01,v02,v03,v04,v05,v06,v07,v08,v10,v11,v12_01,v12_02,v12_03,v12_04,v12_05,v12_06,v12_07,v12_08,v12_09,v12_10,v12_11,v13,v14,v15,v16,v17,v18,v19,v20,v21
1.0 (2020-12-21),doi:10.11587/U4DWGK,1,1,www.spoe.at,www.spoe.at,1,1100000,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,2,2,Wahlmanifest der Sozialdemokratischen Partei Österreichs,Wahlmanifest der SPÖ,1,1100000,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,3,3,40. Ordentlicher Bundesparteitag,40. Ordentlicher Bundesparteitag,1,,,,,,,,,,,,,,,,,,,,,,,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,4,4,8. August 2008 | Design Center Linz,8. August 2008,1,,,,,,,,,,,,,,,,,,,,,,,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,5,4,8. August 2008 | Design Center Linz,Design Center Linz,1,,,,,,,,,,,,,,,,,,,,,,,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,6,5,Inhalt,Inhalt,2,,,,,,,,,,,,,,,,,,,,,,,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,7,6,Einleitung,Einleitung,2,,,,,,,,,,,,,,,,,,,,,,,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,8,7,1. Von guter Arbeit gut leben können,SPÖ für hohe Löhne,2,1100000,1,0,1,10709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,9,8,Bekämpfung der Arbeitslosigkeit,SPÖ gegen Arbeitslosigkeit,2,1100000,1,0,-1,10201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,10,9,Qualität der Arbeit,SPÖ spricht über Qualität der Arbeit,2,1100000,1,0,0,10701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,11,10,Bekämpfung der Teuerung,SPÖ gegen Teuerung,2,1100000,1,0,1,10105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,12,11,Entlastung niedriger und mittlerer Einkommen,SPÖ für Entlastung niedriger Einkommen,2,1100000,1,0,1,12306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,13,11,Entlastung niedriger und mittlerer Einkommen,SPÖ für Entlastung mittlerer Einkommen,2,1100000,1,0,1,12306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,14,12,Faire und sichere Pensionen,SPÖ für faire Pensionen,2,1100000,1,0,1,11608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,15,12,Faire und sichere Pensionen,SPÖ für sichere Pensionen,2,1100000,1,0,1,11608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,16,13,Armutsbekämpfung und Mindestsicherung,SPÖ spricht über Mindestsicherung,2,1100000,1,0,0,11107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,17,13,Armutsbekämpfung und Mindestsicherung,SPÖ gegen Armut,2,1100000,1,0,-1,11113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,18,14,2. Durch Forschung und Innovation im internationalen Wettbewerb bestehen,SPÖ für Standortsicherung,2,1100000,1,0,1,10403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,19,14,2. Durch Forschung und Innovation im internationalen Wettbewerb bestehen,SPÖ für Forschung,2,1100000,1,0,1,13402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,20,14,2. Durch Forschung und Innovation im internationalen Wettbewerb bestehen,SPÖ für Innovation,2,1100000,1,0,1,13402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,21,15,Wirtschaft,SPÖ spricht über Wirtschaft,2,1100000,1,0,0,10101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,22,16,Wissenschaft und Forschung,SPÖ spricht über Wissenschaft,2,1100000,1,0,0,13402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,23,16,Wissenschaft und Forschung,SPÖ spricht über Forschung,2,1100000,1,0,0,13402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,24,17,Innovation,SPÖ spricht über Innovation,2,1100000,1,0,0,13402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
1.0 (2020-12-21),doi:10.11587/U4DWGK,25,18,3. Investieren in die junge Generation,SPÖ für Jugend,2,1100000,1,0,1,11716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9900000,1,,2008,1100000,Wahlmanifest der Sozialdemokratischen Partei Oesterreich Nationalratswahl 2008
