"text","cmp_code","eu_code"
"Für eine neue soziale Idee Die Linkspartei.PDS",NA,NA
"Eine  andere  Politik  ist  nötig  –  für  soziale  und  demokratische  Alternativen",NA,NA
"Fünf Millionen Arbeitslose, trotz Ausbildungspakt Zehntausende fehlende Lehrstellen, Millionen Menschen in ungesicherten Arbeitsverhältnissen, eine nach wie vor bestehende Kluft zwischen Ost-und Westdeutschland – das ist die Bilanz der Politik von SPD und Grünen.","305",NA
"Die gesellschaftlichen Verhältnisse sind absurd:","503",NA
"Steigende Dividenden gehen einher mit Massenentlassungen und Steuergeschenken an die Vertreter des großen Kapitals.","503",NA
"Die Senkung des Spitzensteuersatzes der Einkommenssteuer geht einher mit zunehmender Verschuldung der öffentlichen Haushalte und Massenarbeitslosigkeit.","503",NA
"Steigende Produktivität der Beschäftigten ermöglicht kürzere Arbeitszeiten und steigende Einkommen, doch tatsächlich erleben wir Arbeitszeitverlängerungen, Lohn-und Rentenkürzungen.","503",NA
"Die Krankenversicherten werden mit Praxisgebühren, Zuzahlungen und Sonderbeiträgen für Zahnersatz und Krankengeld belastet.","504",NA
"Die Arbeitgeberbeiträge werden einseitig gesenkt und damit die ohnehin steigenden Gewinne wirtschaftsstarker Unternehmen subventioniert.","503",NA
"Die Hauptverlierer sind die Arbeitslosen.","701",NA
"Rot-Grün hat die Bezugsdauer des Arbeitslosengeldes gekürzt, die Arbeitslosenhilfe abgeschafft, das Arbeitslosengeld II auf Sozialhilfeniveau gesenkt.","701",NA
"Nicht „Fordern und Fördern“, sondern „Fordern statt Fördern“ ist die Devise:","701",NA
"mit verschärften Kontrollvorschriften und Zumutbarkeitsregelungen, die weder Rücksicht auf Qualifikation noch tarifliche Entlohnung nehmen.","701",NA
"Hartz IV steht für Armut und Demütigung per Gesetz.","701",NA
"Die Agenda 2010 steht für Wahlbetrug und Entsolidarisierung.","305",NA
"Mit ihr hat sich die SPD von sozialdemokratischen Grundsätzen verabschiedet.","305",NA
"Die Regierungsparteien wollen diese ungerechte und gescheiterte Politik der Agenda 2010 fortsetzen.","305",NA
"Darüber können einige plakative, sozial klingende Aussagen in den Wahlprogrammen nicht hinwegtäuschen.","305",NA
"SPD, Grüne, CDU/CSU und FDP bieten nicht die Möglichkeit, zwischen verschiedenen politischen Richtungen zu wählen.","305",NA
"Sie vertreten lediglich unterschiedliche Varianten einer Politik des Sozialabbaus und der Umverteilung von unten nach oben.","503",NA
"Wie sehen die angeblichen Alternativen der bürgerlichen Opposition aus?","305",NA
"Es waren stets Schröder und Merkel, es war das große Kartell der sozialen Kälte aus SPD und CDU/CSU, Grünen und FDP, das im Bundesrat gemeinsam durchbrachte, was den Menschen als „Reformen“ zugemutet worden ist.","503",NA
"CDU/CSU und FDP wollen den Kündigungsschutz einschränken, Arbeitszeiten verlängern, Löhne senken, die Mehrwertsteuer erhöhen, Mitbestimmung begrenzen, die Bedeutung von Tariflöhnen verringern und eine, jetzt als Gesundheitsprämie bezeichnete, „Kopfpauschale“ statt solidarischer Krankenversicherung einführen.","503",NA
"Das führt zu weiterem Abbau sozialer und demokratischer Rechte der Menschen und zu mehr Arbeitslosigkeit.","305",NA
"Die Gesellschaft wird noch mehr gespalten.","606",NA
"Das Gegenteil ist sozial und wirtschaftlich geboten:","606",NA
"Die Einkommen der Menschen müssen steigen, die Arbeitszeiten kürzer werden.","701",NA
"Öffentliche Daseinsvorsorge und Dienstleistungen sind zu verbessern.","504",NA
"Der Staat muss eine aktive Wirtschafts-, Sozial-und Ökologiepolitik betreiben.","404",NA
"Mit gerechten Steuern lässt sich das auch finanzieren.","503",NA
"Es gibt eine soziale und demokratische Alternative zur Politik der faktischen großen Koalition der vergangenen sieben Jahre.","305",NA
"Die Linkspartei.PDS setzt sich gemeinsam mit anderen für Arbeit und soziale Gerechtigkeit, für soziale Grundrechte und individuelle Freiheitsrechte, für Geschlechtergerechtigkeit und die Überwindung von Diskriminierungen ein.","503",NA
"Für Demokratie und Mitbestimmung,","202",NA
"für den sozial gleichen Zugang zu Bildung und Wissen.","503",NA
"Für Frieden und friedliche Konfliktbeteiligung,","106",NA
"für eine sozial und ökologisch nachhaltige Entwicklung.","416",NA
"Dem demokratischen Sozialismus verpflichtet, streiten wir für eine bessere Gesellschaft.","305",NA
"Eine, in der Schwache nicht länger schwach, Einzelne nicht länger allein, Arbeitsuchende nicht länger arbeitslos, Fremde nicht länger fremd und Abhängige nicht länger wehrlos bleiben.","503",NA
"Deshalb: Ihre Stimme für wirkliche Alternativen!","305",NA
"Ihre Stimme für Die Linkspartei.PDS!","305",NA
"I. Arbeit für alle. Soziale Grundrechte erneuern und garantieren",NA,NA
"1. Arbeit in Würde – Wirtschaft für die Menschen statt Menschen für die Wirtschaft",NA,NA
"Eine zukunftsfähige Gesellschaft muss als Grundrecht garantieren, dass ihre Bürgerinnen und Bürger die Existenz aus eigener Kraft sichern können.","503",NA
"Für über fünf Millionen Arbeitslose gilt dies in Deutschland heute nicht, denn ein Grundprinzip der gegenwärtigen Gesellschaft lautet, dass Menschen sich „rechnen“ müssen.","701",NA
"Wer sich nicht rechnet, wird entlassen.","701",NA
"Wir setzen dagegen, dass jeder Mensch ein Recht hat, ein menschenwürdiges Leben zu führen.","701",NA
"Die rot-grüne Bundesregierung hat mit ihrer Agenda 2010, vor allem mit dem Hartz IV-Gesetz, mit diesem Grundsatz gebrochen.","701",NA
"Wir halten jedoch daran fest und stehen für Solidarität.","606",NA
"Es gibt Alternativen – der Ausbruch aus sozialer Demütigung und Ausgrenzung ist möglich.","701",NA
"Arbeitsplätze können nur gesichert, Arbeitslosigkeit kann nur dann zurückgedrängt werden, wenn in der Wirtschaftspolitik der Grundsatz beachtet wird: Ohne Nachfrage kein Wachstum und keine neuen Arbeitsplätze.","409",NA
"Deshalb muss die Kaufkraft der Bevölkerung auf dem Binnenmarkt gestärkt werden.","409",NA
"Deshalb brauchen wir die Abkehr von Niedriglohnstrategien!","409",NA
"Stattdessen brauchen wir die Wiederherstellung der längeren Bezugsdauer des Arbeitslosengeldes I","504",NA
"und eine Erhöhung der Einkommen mindestens in dem Maße, wie die gesamtwirtschaftliche Produktivität und die Preise steigen.","408",NA
"Keine weitere Senkung von Sozialeinkommen!","504",NA
"Die Durchsetzungsfähigkeit der Gewerkschaften und die Bindungswirkung der Tarifverträge sollen gestärkt","701",NA
"und die Lockerung des Kündigungsschutzes zurückgewiesen werden.","701",NA
"Die Erklärung der Allgemeinverbindlichkeit von Tarifverträgen muss erleichtert werden.","701",NA
"Die Nachfrage muss durch öffentliche Investitionen erhöht werden.","409",NA
"Statt Dienstleistungen zu privatisieren und einzuschränken, wollen wir, dass öffentliche und soziale Leistungen ausgebaut werden – in Schulen und Hochschulen, Pflege-, Betreuungs-und Kultureinrichtungen, öffentlichem Nahverkehr und Umweltschutz.","409",NA
