"text","cmp_code","eu_code"
"Leistung und Sicherheit",NA,NA
"Zeit für Taten",NA,NA
"Regierungsprogramm",NA,NA
"2002/2006",NA,NA
"Präambel",NA,NA
"Es ist Zeit für Taten. Es ist Zeit für die Union.",NA,NA
"Die Menschen in Deutschland arbeiten hart für ihre Zukunft.","606",NA
"Sie haben eine Regierung verdient, die hart für die Bürger arbeitet","305",NA
"und das Land effizient führt","303",NA
". Leistung und Sicherheit für unser Land – das ist die Chance des 22. September.","305",NA
"Gemeinsam werden wir dem Land den Optimismus wiedergeben, die Ärmel hochkrempeln und die Zukunft anpacken.","305",NA
"Nach vier verlorenen Jahren können wir den Kurs für unser Land gemeinsam neu setzen.","305",NA
"Der Wechsel tut not.","305",NA
"Diese Bundestagswahl ist auch eine Abstimmung über die letzten vier Jahre.","305",NA
"Schröder ist der Kanzler des Versprochen – Gebrochen.","305",NA
"Seine Bilanz ist desolat: mehr als vier Millionen Arbeitslose, ein Gesundheitswesen am Abgrund, gestiegene Steuern und Abgaben.","305",NA
"Zu Recht sind die Menschen enttäuscht.","305",NA
"Die Mehrheit der Deutschen wird diesen Weg nicht fortsetzen.","305",NA
"Das rot-grüne Experiment ist gescheitert, es darf kein rot-rotes daraus werden.","305",NA
"Lassen wir nicht zu, dass Deutschland auf die schiefe Ebene gerät!","601",NA
"Nur eine starke Union ist ein Garant dafür, dass der Negativtrend gestoppt und umgekehrt wird.","305",NA
"Es gilt heute die richtigen Entscheidungen zu treffen, damit die Jahre und Jahrzehnte vor uns eine gute und erfolgreiche Zeit werden.","305",NA
"Mit uns nimmt Deutschland die Zukunft in Angriff – aus der Mitte des politischen Spektrums und aus der Mitte der Gesellschaft heraus.","305",NA
"Machen wir die Bundestagswahl zum Wendepunkt!","305",NA
"Wir wollen gemeinsam etwas leisten für unser Land.","601",NA
"Wir wollen es befreien aus dem Griff der „ruhigen Hand“ dieser Bundesregierung, die Stillstand über das Land gebracht hat, die unsere Chancen vergibt anstatt unsere Zukunft zu sichern.","305",NA
"Deutschland braucht jetzt eine Regierung mit Kompetenz, eine Regierung der Chancen für den einzelnen und für das Land, eine Regierung mit einer klaren Strategie für einen neuen Aufschwung und neue Sicherheit.","305",NA
"Und Deutschland braucht jetzt eine Regierung, die Werte verkörpert und zu Prinzipien ihrer Politik macht: dazu zählt die Orientierung am christlichen Menschenbild","603",NA
"und dazu zählt auch die Liebe zu unserem Land.","601",NA
"Wir bekennen uns zur Vielfalt unseres Landes","607",NA
"und zu Deutschland als Vaterland.","601",NA
"Heimat gibt Halt.","601",NA
"Heimat – das sind menschliche Bindungen und kulturelle Traditionen, und Selbstbewusstsein.","601",NA
"Unser Einsatz für Deutschland gründet auf einem aufgeklärten Patriotismus.","601",NA
"Er verleiht uns die Kraft, die Zukunft mit all ihren Herausforderungen zu meistern.","601",NA
"Zusammen werden wir Deutschland wieder zu einer starken und leistungsfähigen Nation machen,","601",NA
"die fest in Europa verwurzelt ist","108",NA
"und zugleich ihre nationalen Interessen zu vertreten weiß.","601",NA
"Leistung ist der erste Schlüssel für die Zukunft.",NA,NA
"Die Deutschen sind bereit, etwas zu leisten – für sich und für andere.","601",NA
"Wir sorgen dafür, dass sich die Leistungsbereitschaft der schweigenden Mehrheit – von der Krankenschwester bis zum Unternehmer, von der Existenzgründerin bis zum Streifenpolizisten – wieder entfalten kann und gerecht honoriert wird:","401",NA
"dadurch, dass Geringverdiener besser dastehen als Leistungsempfänger;","401",NA
"dadurch, dass Normalverdiener netto mehr von ihrem Lohn und Gehalt übrig behalten;","401",NA
"dadurch, dass der Mittelstand im Zentrum der Wirtschaftspolitik steht;","403",NA
"und dadurch, dass Eltern, die Kinder erziehen und damit viel leisten, fair behandelt werden.","603",NA
"Eine starke Wirtschaft ist die Voraussetzung für einen Staat, der viel für seine Bürger leisten kann.","408",NA
"Wir führen unser Land, dieses starke Land, wieder dahin, wo es hingehört: in die europäische Spitzengruppe.","601",NA
"Wir dürfen nicht länger zurückfallen im europäischen Vergleich in punkto Arbeitslosigkeit,","408",NA
"bei den Wachstumszahlen","410",NA
"und den Staatsfinanzen.","414",NA
"Mit uns gibt es nachhaltiges Wirtschaftswachstum.","410",NA
"Sicherheit ist der zweite Schlüssel für die Zukunft.",NA,NA
"Wir schaffen neue Sicherheit da, wo sich alte Sicherheiten auflösen: In der Alterssicherung ebenso wie im Gesundheitswesen geben wir die Richtung in die Zukunft vor – damit die Bürger in Deutschland wieder Vertrauen fassen in die Sicherheit, die ihnen die Solidargemeinschaft bietet.","504",NA
"Neue Sicherheit schaffen wir auch für Familien","603",NA
"und für junge Menschen, die einen Anspruch auf eine optimale Ausbildung haben.","706",NA
"Deutschland braucht neue Sicherheit.","605",NA
"Die Union steht an der Seite derer, die unsere Sicherheit garantieren.","605",NA
"Wir bekämpfen entschieden Kriminalität.","605",NA
"Und wir machen Deutschland wieder zum verlässlichen Partner in einer Welt vielfältiger, veränderter Bedrohungsszenarien.","107",NA
"Wir Christliche Demokraten und Christsozialen legen gemeinsam unser Regierungsprogramm vor – als eine Union für Deutschland.","305",NA
"Es ist ein ehrgeiziges Programm und es ist ein ehrliches Programm.","305",NA
"Jeder kann sich darauf verlassen, dass wir den Worten Taten folgen lassen.","305",NA
"Wir haben Resultate zu bieten.","305",NA
