"text","cmp_code","eu_code"
"Die Entscheidung",NA,NA
"Deutschland soll entscheiden.","202",NA
"Ein starkes Land braucht Selbstvertrauen.","601",NA
"Und gute Politik braucht das Vertrauen der Bürgerinnen und Bürger.","305",NA
"Um unser Land in eine gute Zukunft zu führen, müssen Blockaden aufgebrochen und lähmender Streit überwunden werden.","305",NA
"Jetzt und nicht erst in einem Jahr soll die notwendige Richtungsentscheidung getroffen werden.","305",NA
"Mit Gerhard Schröder als Bundeskanzler wollen wir Antwort geben auf die Herausforderungen dieser Zeit und Voraussetzungen schaffen für eine gute Zukunft – für Arbeit, Sicherheit, Menschlichkeit.","305",NA
"Deshalb wollen wir Neuwahlen zum Deutschen Bundestag noch in diesem Herbst.","305",NA
"Wir wissen, dass politisches Handeln in dieser Zeit den Bürgerinnen und Bürgern nicht alle Sorgen nehmen und nicht alle Wünsche erfüllen kann.","305",NA
"Und wir wissen auch, dass es keine einfachen und schnellen Lösungen geben kann.","305",NA
"Doch wir sind sicher, dass wir gemeinsam große Ziele erreichen können.","305",NA
"Ziele, die sich lohnen:","305",NA
"Wir wollen eine starke Wirtschaft,","410",NA
"deren Erträge fair verteilt werden, die Grundlage ist für den Wohlstand aller.","503",NA
"Wir streiten für einen starken und sozialen Staat, der seinen Menschen höchstmögliche Sicherheit gibt.","503",NA
"Wir erstreben eine menschliche Gesellschaft, die sich der Freiheit, der Gerechtigkeit und der Solidarität verpflichtet fühlt.","606",NA
"Wir Sozialdemokratinnen und Sozialdemokraten haben mit Gerhard Schröder als Bundeskanzler die Grundlagen für eine gute Zukunft geschaffen.","305",NA
"Unser Weg ist klar.","305",NA
"Wir wollen ihn weitergehen, getragen vom Mandat der Wählerinnen und Wähler.","305",NA
"Wir haben Vertrauen in Deutschland.","601",NA
"Das Erreichte: Erneuerung und Zusammenhalt",NA,NA
"Wir haben 1998 die Regierungsverantwortung übernommen, um Deutschland gerecht und nachhaltig zu erneuern.","305",NA
"Der Wechsel war bitter nötig, denn mit jedem Jahr der Regierung von BundeskanzlerHelmut Kohl wuchsen die Probleme.","305",NA
"Am Ende der 90er Jahre war unser Land wie gelähmt.","305",NA
"Das schwarz-gelbe Erbe von Helmut Kohl",NA,NA
"Helmut Kohl und seine Regierung aus CDU/CSU und FDP haben 1998ein schweres Erbe hinterlassen; Angela Merkel war mit dabei:","305",NA
"Es waren CDU/CSU/FDP, die uns die höchste Steuer- und Abgabenbelastung für Arbeitnehmer und Arbeitnehmerinnen sowie Unternehmen in Höhe von 41,7 % hinterlassen haben.","414",NA
"Die Lohnnebenkosten stiegen von 35,5 % auf 42,0 %.","414",NA
"Es waren CDU/CSU/FDP, die allein von 1991 bis 1998 die Bundesschulden um 395 Mrd. Euro erhöhten (von 1999 bis 2005 waren es nur noch 138 Mrd. Euro).","414",NA
"Es waren CDU/CSU/FDP, die ein soziales Sicherungssystem der Illusionen und eine Arbeitsmarktpolitik ohne Perspektive zu verantworten hatten, die den Herausforderungen der Globalisierung und dem demografischen Wandel nicht mehrgewachsen waren.","303",NA
"Es waren CDU/CSU/FDP, die den Aufbau der Neuen Länder falschfinanzierten – nämlich erheblich über die Sozialsysteme – und die leichtfertig „blühende Landschaften“ versprachen.","303",NA
"Es waren CDU/CSU/FDP, die deutsche Interessen in Europaschlecht vertraten.","110",NA
"Es waren CDU/CSU/FDP, deren stockkonservative Familienpolitik gescheitert war, die vom Bundesverfassungsgericht als sozial ungerecht kritisiert wurde.","604",NA
"Helmut Kohls Sprüche von der geistig-moralischen Erneuerung, mit denen er 1982 seine Kanzlerschaft begann, haben sich als hohl erwiesen und als arrogant.","305",NA
"Helmut Kohls selbstgerechter illegaler Umgang mit öffentlichem Geld und Parteifinanzen hat sich in der Flickaffäre, im Parteispendenskandal 1999/2000 und in Bestechungsskandalen gezeigt und bleibt ein schwarzer Fleck in der deutschen Demokratie.","304",NA
"Weder er noch seine Nachfolgerin sind bereit, den Rechtsfrieden wieder herzustellen.","304",NA
"Vieles ist erreicht, vieles ist auf gutem Weg, manches fehlt noch",NA,NA
"Wir Sozialdemokratinnen und Sozialdemokraten haben in der rotgrünen Koalition in den sieben Jahren seit 1998 Deutschland wiedervorangebracht.","305",NA
"Wir haben Stillstand überwunden.","305",NA
"Wir haben mit Entschlossenheit und Durchsetzungskraft gehandelt, auch gegenWiderstände.","305",NA
"Wir haben das Land erneuert und wir haben es zusammengehalten.","305",NA
"Die Agenda 2010 ist das wichtigste Reformprojekt seit langem.","404",NA
"Es ist die richtige politische Antwort auf globales Wirtschaften und das Älterwerden unserer Gesellschaft.","404",NA
"Manche Reformerfolge sind schon da, vieles fängt an zu wirken, manches muss noch begonnen werden.","305",NA
"Wir wissen: Es gibt noch große Probleme.","305",NA
"Das schwerwiegendste undschmerzlichste Problem ist das der Arbeitslosigkeit.","408",NA
"Wir sind stolz auf das Erreichte.","305",NA
"Wir sind aber noch nicht am Ziel.","305",NA
"Weitere Anstrengungen sind notwendig.","305",NA
"Deutschland kann gewiss sein: Der Wandel ist sinnvoll und gibt neue Sicherheit.","305",NA
"Die Agenda 2010 wirkt.","305",NA
"Wir setzen sie konsequent um undentwickeln sie weiter.","305",NA
"Die Wirtschaft ist wieder wettbewerbsfähig",NA,NA
"Unsere Politik hat den Standort Deutschland und die deutsche Wirtschaft wieder wettbewerbsfähig gemacht.","403",NA
"Auch wenn manche absichtsvoll schwarz malen:","305",NA
"Deutschland ist stark.","410",NA
"Kein Land der Welt exportiert mehr als wir.","410",NA
"Staatsquote und Lohnnebenkosten sinken.","414",NA
"Nie waren die Steuersätze in Deutschland niedriger als heute.","414",NA
"Forschung und Entwicklung prioritär",NA,NA
"Wir haben die Ausgaben für Bildung und Forschung um 37,5 %gesteigert.","506",NA
"Bei den Ausgaben für Forschung und Entwicklung liegt Deutschland heute mit 2,5 % des Bruttoinlandsprodukt in der Spitzengruppe der großen Industrieländer.","411",NA
"Steuersätze sind stärker gesunken",NA,NA
"Steuerpolitik ist immer kompliziert.","303",NA
"Unsere folgt klaren Grundsätzen und bringt für alle greifbare Ergebnisse.","303",NA
"Unternehmen werden entlastet, soweit es für ihre Wettbewerbsfähigkeit sein muss.","403",NA
"Wir haben die Gering- und Durchschnittsverdiener stark entlastet.","701",NA
"Die soziale Balance wird immer gewahrt.","503",NA
