"text","cmp_code","eu_code"
"BÜRGERPROGRAMM 2002",NA,NA
"Bereit zur Verantwortung",NA,NA
"Deutschland befindet sich mitten im Prozess globaler Veränderungen von der Industriegesellschaft zur Informationsgesellschaft.","408",NA
"Kapital, Arbeit, Information werden immer mobiler, nationale Grenzen verlieren an Bedeutung,","408",NA
"der Staat verliert an Steuerungskompetenz.","401",NA
"Die neue Zeit ist mit keiner anderen Idee so gestaltbar wie mit der Idee der Freiheit: Der Freiheit zur Verantwortung.","201",NA
"Die anderen Parteien missverstehen den Staat und die Politik als den Vormund der Bürgerinnen und Bürger.","305",NA
"Nur die FDP begreift Politik und Staat als den Wächter über die Fairness im Zusammenleben mündiger Bürgerinnen und Bürger.","305",NA
"Die anderen Parteien ruinieren den Staat, indem sie dafür sorgen, dass er sich in immer mehr einmischt und immer weniger beherrscht.","305",NA
"Die FDP setzt auf die verantwortlich denkenden Menschen im Volk.","000",NA
"Die FDP ist eine Partei für das ganze Volk.","305",NA
"Eine Partei für alle, die fragen, was sie für ihre Gemeinde, ihr Land und ihr Volk tun können, anstatt immer gleich nach dem Staat zu rufen.","606",NA
"Wir wenden uns an alle, die mehr Freiheit und Verantwortung und weniger staatliche Bevormundung wollen.","201",NA
"Als Partei für das ganze Volk gehen wir unabhängig in die Bundestagswahl 2002.","305",NA
"Die FDP will 2002 einen politischen Kurswechsel.","305",NA
"Die FDP will das nächste Regierungsprogramm nachhaltig bestimmen.","305",NA
"Die FDP ist die Partei der Sozialen Markwirtschaft.","403",NA
"Wir wollen eine Rückbesinnung auf die Tugenden der klassischen sozialen Markwirtschaft, um Arbeitsplätze und Wohlstand für alle zu sichern: durch eine neue Kultur der Selbstständigkeit, durch mehr Freiheit und weniger Staat, durch weniger Steuern und weniger Abgaben.","403",NA
"Die FDP ist die Partei der Bildung.","506",NA
"Freiheit ist Voraussetzung von Bildung und Bildung ist Bedingung von Freiheit.","201",NA
"Bildung ist und bleibt Bürgerrecht.","506",NA
"Die FDP sieht in der Bildung, Ausbildung, im Wissen und im Forschergeist die wichtigsten Zukunftsressourcen, um Deutschland gesellschaftlich und wirtschaftlich für das Informationszeitalter fit zu machen.","506",NA
"Die FDP ist die Partei für Familien.","603",NA
"Familie ist vor allem dort, wo Kinder sind.","604",NA
"Diese Familien bedürfen besonderer Förderung.","603",NA
"Denn Kinder sind unsere Zukunft.","706",NA
"Die FDP ist die Partei des Rechtsstaates.","201",NA
"Die FDP steht in der liberalen Tradition der Freiheitsrechte für die Bürgerinnen und Bürger gegen staatliche Bevormundung.","201",NA
"Wir sind die Partei der Toleranz und Weltoffenheit.","201",NA
"Wir wollen dazu beitragen, dass Deutschland ein international anerkanntes Land in der zivilen Weltgesellschaft bleibt.","107",NA
"Die FDP ist die Partei der Mobilität.","411",NA
"Eine Gesellschaft im Aufbruch darf nicht alltäglich im Verkehrsstau stecken bleiben.","411",NA
"Unsere Gesellschaft braucht eine Offensive für mehr Beweglichkeit.","411",NA
"Wir wollen Chancengleichheit durch eine mobile Gesellschaft.","503",NA
"Mobilität muss belohnt werden - nicht Stillstand.","401",NA
"Die FDP ist die Partei der ökologischen Modernisierung.","501",NA
"Wir wollen mehr Effizienz und Effektivität durch marktwirtschaftliche Instrumente -","403",NA
"einen Umweltschutz mit den Menschen und nicht gegen sie.","501",NA
"Die FDP ist die Europapartei.","108",NA
"Wir haben in der Vergangenheit mit den liberalen Außenministern Walter Scheel, Hans-Dietrich Genscher und Klaus Kinkel Grenzen und Barrieren eingerissen und zu Demokratie, Rechtsstaatlichkeit und Frieden in Europa beigetragen.","305",NA
"Die Westintegration, die Ostpolitik der Liberalen waren Voraussetzungen für die Einheit Deutschlands in Frieden und Freiheit.","305",NA
"Die Lehre der Geschichte des 20. Jahrhunderts ist die Einbettung Deutschlands in ein freiheitliches friedliches Europa.","108",NA
"Die FDP wendet sich mit ihrer Politik an alle jene, die von der Politik nicht mehr hören wollen, was nicht geht, sondern Lösungen erwarten.","305",NA
"Erstklassige Bildung für jeden","506",NA
"und mehr Jobs durch Steuersenkung","408",NA
"in einem weltoffenen, freien","201",NA
"und sicheren Deutschland sind die zentralen Ziele unserer Politik.","605",NA
"Einer Politik für Freiheit zur Verantwortung.","201",NA
"Politik für ein wirtschaftlich starkes Deutschland",NA,NA
"Wirtschaftspolitische Aufgabe Nr. 1 ist für die FDP die Bekämpfung der unerträglich hohen Arbeitslosigkeit.","408",NA
"Arbeitslosigkeit bedeutet nicht nur Einkommensverlust für die Betroffenen und Vergeudung von Ressourcen für die Volkswirtschaft.","701",NA
"Sie verletzt vor allem die Würde der Arbeit suchenden Menschen und ihrer Familien","701",NA
"und beraubt sie eines wichtigen Teils ihrer Freiheit.","201",NA
"Das ist die größte soziale Ungerechtigkeit rot - grüner Wirtschaftspolitik.","305",NA
"Zur Bekämpfung der Arbeitslosigkeit reichen kurzfristige, kopflose Arbeitsmarktaktionen nicht aus.","305",NA
"Die FDP will an den Ursachen ansetzen - an der fundamentalen Wachstums-, Investitions- und Innovationsschwäche,","305",NA
"an falschen Strukturen, Fehlanreizen, Verkrustungen und Regelungswut.","303",NA
"Sie will die Menschen aber auch für ein neues Denken gewinnen: für mehr Selbstverantwortung, mehr Bereitschaft zu Veränderungen, mehr Mut.","505",NA
"Die Wirtschaftspolitik der rot - grünen Regierung ist gescheitert.","305",NA
"Sie erweist sich als interventionistisch, kurzatmig, unsystematisch und widersprüchlich.","305",NA
"Umkehr ist geboten.","305",NA
"Aufbruch zu neuer wirtschaftlicher Dynamik muss die Devise sein.","408",NA
"Gefordert ist eine andere, eine moderne, eine zukunftsorientierte Wirtschaftspolitik.","305",NA
"Deutschland braucht keine „neue'' Soziale Marktwirtschaft.","403",NA
"Deutschland braucht eine Rückbesinnung auf die Prinzipien der Sozialen Marktwirtschaft.","403",NA
"In dieser Tradition steht die FDP.","305",NA
"I. Steuern runter - Jobs rauf",NA,NA
"Steuersenkungen sind das beste Beschäftigungsprogramm.","701",NA
"Das geltende Steuerrecht ist kaum noch verständlich,","303",NA
"die Steuerbelastung viel zu hoch.","408",NA
"Dazu hat die rotgrüne Koalition in den letzten Jahren kräftig beigetragen.","305",NA
"Für die FDP steht eines fest: In der nächsten Legislaturperiode muss Schluss sein mit laufend neuen unsystematischen Reformversuchen und Korrekturen am Steuersystem.","305",NA
"Wir schlagen daher ein völlig neues Steuerrecht vor.","303",NA
"Niedrige Steuersätze,","408",NA
"einfache und verständliche Regeln,","303",NA
"eine gerechte Belastung aller, das sind die Kennzeichen.","503",NA
"Bürger und Unternehmer akzeptieren Steuern nur in maßvoller und berechenbarer Höhe.","402",NA
"Die Besteuerungsgrundlagen müssen zudem verständlich sein.","303",NA
"Beides ist heute nicht der Fall.","303",NA
"Niedrige Steuern erreichen wir durch unseren Einkommensteuer-Stufentarif:","701",NA
"Einkommensteile von 0 bis 7.500 € 0 % Steuern Einkommensteile von 7.501 bis 15.000 € 15 % Steuern Einkommensteile von 15.001 bis 40.000 € 25 % Steuern Einkommensteile ab 40.001 € 35 % Steuern","701",NA
"Wichtig ist: Jeder, der über den Null-Steuersatz hinausverdient, zahlt immer nur für den höheren Einkommensteil den höheren Steuersatz.","701",NA
"So kann sich jeder seine Steuerbelastung selbst ausrechnen.","303",NA
"Bei Ehegatten verdoppeln sich die Einkommensstufen.","303",NA
"Ergebnis unseres Tarifs: Der Bürger behält das meiste des verdienten Geldes, er muss nur einen akzeptablen Anteil beim Finanzamt abliefern.","701",NA
"Zur Freistellung des Existenzminimums gibt es für jeden Bürger, also auch für jedes Kind, einen einheitlichen Grundfreibetrag von 7.500 €.","504",NA
"Der besonderen Belastung von Familien einschließlich der Alleinerziehenden wird durch diese Verdoppelung des Freibetrags für Kinder Rechnung getragen.","503",NA
"Das Kindergeld wird entsprechend angepasst.","504",NA
"Das Einkommensteuerrecht wird drastisch vereinfacht.","303",NA
"Wir wollen die Steuererklärung auf einem Blatt Papier ermöglichen.","303",NA
"Es entfällt die Unterscheidung zwischen den sieben verschiedenen Einkunftsarten.","303",NA
"Auch für Körperschaften gilt der Stufentarif.","303",NA
"Ausschüttungen werden immer mit 35 % bei der Gesellschaft belastet.","303",NA
"Beim Anteilseigner kann diese Steuer auf Antrag angerechnet werden.","303",NA
"Die Besteuerung wird so rechtsformneutral.","303",NA
"Für die Bürger spielt es also keine Rolle, ob Einnahmen von einer Kapitalgesellschaft oder einer Personengesellschaft, durch selbständige oder nichtselbstständige Arbeit erzielt werden.","303",NA
"Um Kapitalflucht zu verhindern, werden als einzige Ausnahme hierzu Zinsen durch eine an der Quelle anonym erhobene Abgeltungsteuer von 25 % besteuert.","303",NA
